boundary,stage,window_size,domain_exact_rms,min_point_sd,max_point_sd,first_point_sd,center_point_sd,edge_region_rms,interior_region_rms
wrap,1,501,0.024000127996330733,0.02400012799633073,0.024000127996330733,0.024000127996330733,0.02400012799633073,0.02400012799633073,0.024000127996330733
wrap,2,355,0.02852326477286577,0.028523264772865764,0.02852326477286577,0.02852326477286577,0.02852326477286577,0.02852326477286577,0.028523264772865764
wrap,3,251,0.033941849491276536,0.033941849491276536,0.033941849491276536,0.033941849491276536,0.033941849491276536,0.033941849491276536,0.033941849491276536
wrap,4,177,0.040453732563653165,0.04045373256365316,0.04045373256365316,0.04045373256365316,0.04045373256365316,0.040453732563653165,0.040453732563653165
wrap,5,125,0.04819733686765717,0.048197336867657176,0.048197336867657176,0.048197336867657176,0.048197336867657176,0.04819733686765717,0.04819733686765717
wrap,6,89,0.057217596064559374,0.05721759606455937,0.05721759606455937,0.05721759606455937,0.05721759606455937,0.05721759606455937,0.05721759606455937
wrap,7,63,0.06817901653631069,0.06817901653631067,0.06817901653631067,0.06817901653631067,0.06817901653631067,0.06817901653631067,0.06817901653631069
wrap,8,45,0.0809594967004697,0.08095949670046972,0.08095949670046972,0.08095949670046972,0.08095949670046972,0.08095949670046972,0.0809594967004697
wrap,9,31,0.09812359442304697,0.09812359442304694,0.09812359442304695,0.09812359442304695,0.09812359442304695,0.09812359442304697,0.09812359442304697
reflect,1,501,0.02561250444565108,0.02400012799633073,0.03385634918061028,0.03385634918061028,0.02400012799633073,0.027129220853477062,0.024000127996330733
reflect,2,355,0.029892559992451124,0.028523264772865764,0.040195306722355606,0.040195306722355606,0.02852326477286577,0.03224178771577179,0.028523264772865764
reflect,3,251,0.035100229473611584,0.033941849491276536,0.04776044145803263,0.04776044145803263,0.033941849491276536,0.03836609174434317,0.033941849491276536
reflect,4,177,0.04143015809445904,0.04045373256365316,0.05680252948438095,0.05680252948438095,0.04045373256365316,0.0457251118087662,0.040453732563653165
reflect,5,125,0.049019278505768045,0.048197336867657176,0.06747101952265135,0.06747101952265135,0.048197336867657176,0.05447375151808447,0.04819733686765717
reflect,6,89,0.057910858161531464,0.05721759606455937,0.0797612198826097,0.0797612198826097,0.05721759606455937,0.06465935950897508,0.05721759606455937
reflect,7,63,0.06876048480260358,0.06817901653631067,0.09445917805430004,0.09445917805430004,0.06817901653631067,0.0770238158365887,0.06817901653631069
reflect,8,45,0.08144752056108068,0.08095949670046972,0.1112052739813641,0.1112052739813641,0.08095949670046972,0.09140989903351959,0.0809594967004697
reflect,9,31,0.09852233457334264,0.09812359442304695,0.13290435298530764,0.13290435298530764,0.09812359442304695,0.11064324361930254,0.09812359442304697
